id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5397884-A,Electronic kay storing time-varying code segments generated by a central computer and operating with synchronized off-line locks ,Saliga; Thomas V.,Thomas V. Saliga,1993-10-12,1993-10-12,1995-03-14,1995-03-14,https://patents.google.com/patent/US5397884A/en,https://patentimages.storage.googleapis.com/0a/ba/2d/07e281ba2666f3/US5397884-drawings-page-2.png
US-6392640-B1,Entry of words with thumbwheel by disambiguation ,Cognitive Research & Design Corp.,Craig Alexander Will,1995-04-18,2000-03-27,2002-05-21,2002-05-21,https://patents.google.com/patent/US6392640B1/en,https://patentimages.storage.googleapis.com/cd/20/bd/386bc70e9d4a0a/US06392640-20020521-D00000.png
RU-2388007-C2,System for determining approximate position of device based on external signals ,Майкрософт Корпорейшн,"Джон К. КРАММ (US), Джон К. КРАММ, Джеральд Ф. СЕРМАК (US), Джеральд Ф. СЕРМАК, Эрик Дж. ХОРВИЦ (US), Эрик Дж. ХОРВИЦ, Эдвард К. МИЛЛЕР (US), Эдвард К. МИЛЛЕР, Адель Амин АбдельАзим ЮССЕФ (US), Адель Амин АбдельАзим ЮССЕФ",2003-07-22,2004-07-06,2010-04-27,2010-04-27,https://patents.google.com/patent/RU2388007C2/en,https://patentimages.storage.googleapis.com/45/e6/3d/95ddeafd48d8ad/00000019.png
US-7139914-B2,System and method for network security ,Michael Arnouse,Michael Arnouse,2003-06-13,2003-08-22,2006-11-21,2006-11-21,https://patents.google.com/patent/US7139914B2/en,https://patentimages.storage.googleapis.com/59/6a/1f/72ac23cd0d69ba/US07139914-20061121-D00000.png
US-4070649-A,Multi-modal data input/output apparatus and method compatible with bio-engineering requirements ,"Said Sanford J. Wright, By Said Peter Anderson And Said Ralph Grimes","Sanford J. Wright, Jr., Peter T. Anderson, Ralph S. Grimes",1976-12-01,1976-12-01,1978-01-24,1978-01-24,https://patents.google.com/patent/US4070649A/en,https://patentimages.storage.googleapis.com/91/8d/cf/47da118d291209/US4070649-drawings-page-2.png
US-7043754-B2,"Method of secure personal identification, information processing, and precise point of contact location and timing ",Michael Arnouse,Michael Arnouse,2003-06-12,2003-06-12,2006-05-09,2006-05-09,https://patents.google.com/patent/US7043754B2/en,https://patentimages.storage.googleapis.com/83/89/b8/b0215952d96d91/US07043754-20060509-D00000.png
EP-0964321-B1,Timepiece ,Citizen Watch Co. Ltd.,"Yasushi Citizen Watch Co. Ltd Tech. Lab. KANEKO, Kazuhiko Citizen Watch Co. Ltd YOSHIKAWA",1997-11-28,1998-11-27,2002-02-13,2002-02-13,https://patents.google.com/patent/EP0964321B1/en,https://patentimages.storage.googleapis.com/68/92/8a/4d58a68f5a9409/00520001.png
CN-2655305-Y,MP3 watch ,珠海精准表业有限公司,陈笠,2003-12-10,2004-03-31,2004-11-10,2004-11-10,https://patents.google.com/patent/CN2655305Y/en,https://patentimages.storage.googleapis.com/8f/5e/b3/0dca7f9f991678/Y20042000758500131.png
US-4901296-A,Watch with speed adjustment during travel for reducing jet lag ,Mitchell Ross E,Ross E. Mitchell,1989-03-17,1989-03-17,1990-02-13,1990-02-13,https://patents.google.com/patent/US4901296A/en,https://patentimages.storage.googleapis.com/pages/US4901296-1.png
US-4398834-A,Electronic watch with demonstration display mode ,Kabushiki Kaisha Suwa Seikosha,Youichi Wakai,1979-06-12,1982-01-28,1983-08-16,1983-08-16,https://patents.google.com/patent/US4398834A/en,https://patentimages.storage.googleapis.com/b1/3c/a2/4a551f61c1d5ab/US4398834-drawings-page-2.png
CN-1156117-C,"Method, apparatus and communication system for exchanging message in all over environment ",国际商业机器公司,"���ء����߸�, 里特·赫曼,  , 德克·胡塞曼",1999-01-27,1999-12-30,2004-06-30,2004-06-30,https://patents.google.com/patent/CN1156117C/en,https://patentimages.storage.googleapis.com/57/a9/a3/39a0948e64100b/C9912744700212.png
CN-1130552-C,Temp. transmitter with on-line calibration using Johnson noise ,罗斯蒙德公司,"埃文·埃尔于雷克, 加里·伦兹",1996-01-03,1996-12-19,2003-12-10,2003-12-10,https://patents.google.com/patent/CN1130552C/en,https://patentimages.storage.googleapis.com/27/42/c0/b726a31d47455b/C9619927800111.png
CN-1632733-A,A digital coded Chinese character input method in computer ,林海波,"林海波, 林麟",2005-01-05,2005-01-05,2005-06-29,,https://patents.google.com/patent/CN1632733A/en,
US-5980060-A,Portable object having a fastening band illuminated by a super thin light element ,Chien; Tseng Lu,Tseng Lu Chien,1995-09-01,1997-12-22,1999-11-09,1999-11-09,https://patents.google.com/patent/US5980060A/en,https://patentimages.storage.googleapis.com/81/0c/dc/65c7375087c90f/US5980060-drawings-page-2.png
CN-2119698-U,Wall or table pocket perpetual calendar ,张荣华,张荣华,1992-04-29,1992-04-29,1992-10-21,,https://patents.google.com/patent/CN2119698U/en,https://patentimages.storage.googleapis.com/a7/d5/07/1b0c978b9facff/922137935_DRIMG1.png
US-5264761-A,Programmed control module for inductive coupling to a wall switch ,"Beacon Light Products, Inc.",Samuel A. Johnson,1991-09-12,1991-09-12,1993-11-23,1993-11-23,https://patents.google.com/patent/US5264761A/en,https://patentimages.storage.googleapis.com/ca/66/32/5c93464d851974/US5264761-drawings-page-2.png
EP-1341029-A2,Improved time piece ,"Fossil, Inc.","Diarmuid John St. Colum Bland, Donald Brewer",2002-03-01,2002-04-29,2003-09-03,,https://patents.google.com/patent/EP1341029A2/en,https://patentimages.storage.googleapis.com/3c/18/15/a1c51527f11177/00330001.png
EP-0653182-B1,Portable measuring apparatus ,Seiko Epson Corporation,Yutaka C/O Seiko Epson Corp. Kondo,1993-10-25,1994-10-19,2000-01-19,2000-01-19,https://patents.google.com/patent/EP0653182B1/en,https://patentimages.storage.googleapis.com/f0/84/58/dfda277edb856d/00190001.png
ES-2305351-T3,ANIMATED WATCH. ,Timefoundry Llc,"David F. Herbstman, Marco Prieschl",2001-11-29,2002-11-13,2008-11-01,2008-11-01,https://patents.google.com/patent/ES2305351T3/en,
US-6529754-B2,Biometric measuring device ,Seiko Epson Corporation,Yutaka Kondo,1998-02-16,1999-02-16,2003-03-04,2003-03-04,https://patents.google.com/patent/US6529754B2/en,https://patentimages.storage.googleapis.com/30/c3/90/cad6dd28adb9eb/US6529754-drawings-page-2.png
US-7484245-B1,System and method for providing data security ,Gigatrust,"George Friedman, Robert Phillip Starek, Carlos A. Murdock",1999-10-01,2000-09-29,2009-01-27,2009-01-27,https://patents.google.com/patent/US7484245B1/en,https://patentimages.storage.googleapis.com/f9/4c/5a/a2392e5d3eecb1/US07484245-20090127-D00000.png
CN-1290341-C,Method for calculating motion vector ,松下电器产业株式会社,"近藤敏志, 野真也, 羽饲诚, 安倍清史",2002-04-19,2003-04-16,2006-12-13,2006-12-13,https://patents.google.com/patent/CN1290341C/en,https://patentimages.storage.googleapis.com/93/63/e7/e253370efc0be6/C0380047200891.png
US-4848381-A,Clean in place system ,Diversey Corporation,"James W. Livingston, Henry W. Cassady, Jr., Stephen G. Hosking, Thomas J. Warner, Gary D. Moreland",1987-02-13,1988-02-05,1989-07-18,1989-07-18,https://patents.google.com/patent/US4848381A/en,https://patentimages.storage.googleapis.com/33/fe/da/1555406d8b09c7/US4848381-drawings-page-2.png
JP-H02257086-A,Cover glass for timepiece ,"Seiko Epson Corp, セイコーエプソン株式会社","Toshiro Kasai, 河西　俊郎",1989-03-30,1989-03-30,1990-10-17,,https://patents.google.com/patent/JPH02257086A/en,
CN-104536279-A,Watch kit ,梁影金,梁影金,2015-02-04,2015-02-04,2015-04-22,,https://patents.google.com/patent/CN104536279A/en,
US-6421650-B1,Medication monitoring system and apparatus ,Goetech Llc,"Gerald E. Goetz, Terry Precht, Eric Krug, Andrew Fanton, Joe Keating, Brian Coppom, Bradley Thompson, Brian Hepp",1998-03-04,1999-03-02,2002-07-16,2002-07-16,https://patents.google.com/patent/US6421650B1/en,https://patentimages.storage.googleapis.com/73/e0/e9/84abb5598846bd/US6421650-drawings-page-3.png
US-6397190-B1,Veterinary medication monitoring system and apparatus ,Gerald E. Goetz,Gerald E. Goetz,1998-07-22,1999-06-11,2002-05-28,2002-05-28,https://patents.google.com/patent/US6397190B1/en,https://patentimages.storage.googleapis.com/a5/c1/08/c836f357477408/US6397190-drawings-page-3.png
US-4043636-A,Illumination-panel for liquid crystal display of similar device ,Intel Corporation,"Noel H. Eberhardt, Ron F. Keller",1974-12-23,1975-08-01,1977-08-23,1977-08-23,https://patents.google.com/patent/US4043636A/en,https://patentimages.storage.googleapis.com/27/9f/34/8ec17b0353d02d/US4043636-drawings-page-2.png
EP-0394342-B1,Paging receiver capable of reminding a user of an important message event ,"Motorola, Inc.","Joan S. Deluca, Thomas Francis Holmes, Mark John Abbaticchio",1988-01-04,1988-12-19,1995-06-21,1995-06-21,https://patents.google.com/patent/EP0394342B1/en,https://patentimages.storage.googleapis.com/11/89/60/1e75a5926ef785/imgf0001.png
US-6246406-B1,Techniques for navigating layers of a user interface ,"Sun Microsystems, Inc.","Jakob Nielsen, B J Fogg",1998-02-06,2000-02-03,2001-06-12,2001-06-12,https://patents.google.com/patent/US6246406B1/en,https://patentimages.storage.googleapis.com/c6/ee/c6/64d1deffd565d8/US06246406-20010612-D00000.png
US-7039806-B1,Method and apparatus for packaging and transmitting data ,Infraworks Corporation,"George Friedman, Robert Phillip Starek, Carlos A. Murdock",1999-10-01,2000-09-29,2006-05-02,2006-05-02,https://patents.google.com/patent/US7039806B1/en,https://patentimages.storage.googleapis.com/78/a4/37/b0ee5f6bb6d5ca/US07039806-20060502-D00000.png
US-6323923-B1,Reflective type LCD having a solar cell formed of same material and same surface as an active element ,Seiko Instruments R&D Center Inc.,"Masafumi Hoshino, Shuhei Yamamoto, Shunichi Motte, Teruo Ebihara, Shigeru Senbonmatsu, Kaori Takano, Osamu Yamazaki, Naotoshi Shino, Takakazu Fukuchi, Hiroshi Sakama",1998-04-17,1999-04-16,2001-11-27,2001-11-27,https://patents.google.com/patent/US6323923B1/en,https://patentimages.storage.googleapis.com/d1/88/66/eb8df6f16f80cd/US6323923-drawings-page-2.png
DE-69409184-T2,Electronic clock ,Seiko Epson Corp,"Hidehiro Akahane, Youichi Hayashi, Yoshitaka Iijima, Mikiko Ito, Takashi Kawaguchi, Masaru Kubota, Hidenori Makiba, Keiichiro Oguchi",1993-07-01,1994-06-30,1998-07-30,1998-07-30,https://patents.google.com/patent/DE69409184T2/en,
CN-1290281-C,Apparatus and method for coding/decoding of STTD in OFDM mobile communication system ,三星电子株式会社,"周判谕, 姜大业, 高恩锡, 洪大植",2001-11-10,2002-11-11,2006-12-13,2006-12-13,https://patents.google.com/patent/CN1290281C/en,https://patentimages.storage.googleapis.com/01/5a/1a/2742be8dddc098/C0280431100281.png
US-5724203-A,Method and apparatus for determining addresses in time along a recording tape ,"Index Systems, Inc.","Daniel S. Kwoh, Yee Kong Ng",1991-08-19,1996-10-25,1998-03-03,1998-03-03,https://patents.google.com/patent/US5724203A/en,https://patentimages.storage.googleapis.com/38/c8/97/6bbd660991921a/US5724203-drawings-page-3.png
TW-514819-B,Bezel based input mechanism and user interface for a smart watch ,Ibm,Chandrasekhar Narayanaswami,2000-06-30,2001-06-26,2002-12-21,2002-12-21,https://patents.google.com/patent/TW514819B/en,
ES-1191433-U,"Watch watch watch (Machine-translation by Google Translate, not legally binding) ",Salvador LLOMBART VALLS,Salvador LLOMBART VALLS,2017-08-03,2017-08-03,2017-09-18,,https://patents.google.com/patent/ES1191433U/en,
CN-100478042-C,"Apparatus and method for bioelectric stimulation, healing acceleration and pain relief ",康奥尼斯有限公司,詹姆斯·W.·科龙博格,2001-08-21,2002-08-21,2009-04-15,2009-04-15,https://patents.google.com/patent/CN100478042C/en,https://patentimages.storage.googleapis.com/4b/3f/57/d155eb1832ba34/C0282085300371.png
US-6496949-B1,"Emergency backup system, method and program product therefor ",International Business Machines Corp.,"Dimitri Kanevsky, Wlodek Zadrozny, Alexander Zlatsin",1999-08-06,1999-08-06,2002-12-17,2002-12-17,https://patents.google.com/patent/US6496949B1/en,https://patentimages.storage.googleapis.com/65/2c/35/66c63aeb9a6edc/US6496949-drawings-page-2.png
US-4825765-A,"Delay circuit for electric blasting, detonating primer having delay circuit and system for electrically blasting detonating primers ","Nippon Oil And Fats Co., Ltd., Harada Electronics Industry","Koji Ochi, Masahide Harada",1986-09-25,1987-09-17,1989-05-02,1989-05-02,https://patents.google.com/patent/US4825765A/en,https://patentimages.storage.googleapis.com/d7/4e/4b/3164e158e62dd6/US4825765-drawings-page-2.png
KR-20200058176-A,Analogue electronic clock equipped with additional clock for time check ,김성우,김성우,2018-11-19,2018-11-19,2020-05-27,,https://patents.google.com/patent/KR20200058176A/en,https://patentimages.storage.googleapis.com/0e/7a/70/2c843e8712a489/pat00001.png
US-4303996-A,User programmable alpha-numeric message watch ,Hughes Aircraft Company,Lawrence S. Schmitz,1977-01-12,1980-03-10,1981-12-01,1981-12-01,https://patents.google.com/patent/US4303996A/en,https://patentimages.storage.googleapis.com/7b/a2/06/14dc80ee15d928/US4303996-drawings-page-2.png
US-4920524-A,Multimode digital timepiece ,Kotob Mohammed N,Mohammed N. Kotob,1988-08-22,1988-08-22,1990-04-24,1990-04-24,https://patents.google.com/patent/US4920524A/en,https://patentimages.storage.googleapis.com/c3/55/03/fdff4ee02c5c5b/US4920524-drawings-page-2.png
JP-2004198198-A,Portable information device ,"Seiko Epson Corp, セイコーエプソン株式会社","Akihiko Maruyama, 昭彦 丸山, Kenichi Okuhara, 建一 奥原",2002-12-17,2002-12-17,2004-07-15,,https://patents.google.com/patent/JP2004198198A/en,https://patentimages.storage.googleapis.com/3f/2a/5f/4d3e2cabc2e574/2004198198-3.png
CN-1084483-C,Reflective polarizer display ,美国3M公司,"安德鲁.J.乌德柯卡, 迈克.F.韦伯, 雅姆.M.约萨, 卡尔.A.斯托弗, 桑福德.Jr.科布, 戴维.L.沃特曼, 奥利斯特.Jr本森",1993-12-21,1994-12-20,2002-05-08,2002-05-08,https://patents.google.com/patent/CN1084483C/en,https://patentimages.storage.googleapis.com/a7/d7/f5/0217918eaf495f/C9419456800392.png
CN-1052795-C,Reflective polarizer with brightness enhancement ,美国3M公司,"安德鲁·J·乌德柯卡, 迈克·F·韦伯, 雅姆·M·约萨, 卡尔·A·斯托弗, 桑福德·Jr·科布, 戴维·L·沃特曼, 奥利斯特·Jr·本森",1993-12-21,1994-12-20,2000-05-24,2000-05-24,https://patents.google.com/patent/CN1052795C/en,https://patentimages.storage.googleapis.com/eb/59/7f/5e0ce47916905e/C9419489500291.png
JP-2608257-B2,Paging system ,"株式会社服部セイコー, セイコーエプソン株式会社","ガロルド  ビー ギャスキル, ダニエル  ジエー パーク, ロバート  ジー ルールマン, ドナルド  ティー ローズ, ジョセフ  エフ  ザ  サード スタイリー, ルイス  ダブリュー バーナム, ドン  ジー ホフ",1984-12-05,1995-05-11,1997-05-07,1997-05-07,https://patents.google.com/patent/JP2608257B2/en,
CA-1162577-A,Rocker switch for an electronic watch ,"Noel Eberhardt, Stewart Carl, Timex Corporation","Noel Eberhardt, Stewart Carl",1981-06-15,1982-05-06,1984-02-21,1984-02-21,https://patents.google.com/patent/CA1162577A/en,
SU-1246047-A1,Electronic timepiece ,Ордена Ленина Институт Проблем Управления (Автоматики И Телемеханики),"Владимир Николаевич Горохов, Александр Борисович Гончаров",1985-01-10,1985-01-10,1986-07-23,1986-07-23,https://patents.google.com/patent/SU1246047A1/en,
US-7136883-B2,System for managing object storage and retrieval in partitioned storage media ,Siemens Medial Solutions Health Services Corporation,"Bruce M. Flamma, William D. Lusen, Frank W. Racis",2001-09-08,2002-09-09,2006-11-14,2006-11-14,https://patents.google.com/patent/US7136883B2/en,https://patentimages.storage.googleapis.com/d1/9e/d2/f40b70ae645492/US07136883-20061114-D00000.png
US-5053199-A,Electronically readable information carrier ,Boehringer Mannheim Corporation,"Dale A. Keiser, Charles A. Jackson, William R. Boyd",1989-02-21,1989-02-21,1991-10-01,1991-10-01,https://patents.google.com/patent/US5053199A/en,https://patentimages.storage.googleapis.com/af/08/f4/2613d321e74b37/US5053199-drawings-page-3.png
US-5550044-A,Preparation of wax beads containing a reagent using liquid nitrogen for cooling and solidifying ,"Kosak; Kenneth M., Kosak; Matthew K.","Kenneth M. Kosak, Matthew K. Kosak",1992-02-13,1994-06-10,1996-08-27,1996-08-27,https://patents.google.com/patent/US5550044A/en,https://patentimages.storage.googleapis.com/46/a8/77/81768eb277920e/US5550044-drawings-page-2.png
US-4593961-A,Electrical compression connector ,Amp Incorporated,Nicola Cosmo,1984-12-20,1984-12-20,1986-06-10,1986-06-10,https://patents.google.com/patent/US4593961A/en,https://patentimages.storage.googleapis.com/49/54/2c/0c1fec748338a5/US4593961-drawings-page-2.png
US-6818529-B2,Apparatus and method for forming a silicon film across the surface of a glass substrate ,"Applied Materials, Inc.","Robert Bachrach, Kam Law",2002-09-12,2002-09-12,2004-11-16,2004-11-16,https://patents.google.com/patent/US6818529B2/en,https://patentimages.storage.googleapis.com/8f/89/0e/e2bdac3c64b1af/US06818529-20041116-D00000.png
US-4495581-A,User programmable postal rate calculator ,Piccione James M,James M. Piccione,1981-10-19,1981-10-19,1985-01-22,1985-01-22,https://patents.google.com/patent/US4495581A/en,https://patentimages.storage.googleapis.com/60/43/ab/0b0f6daf44fe23/US4495581-drawings-page-2.png
CA-1311927-C,Watch mounted on a clip ,"Urs Michel Jordi, A L T O P S.A.",Urs Michel Jordi,1986-04-01,1987-02-23,1992-12-29,1992-12-29,https://patents.google.com/patent/CA1311927C/en,
US-5019467-A,Thin primary cell ,"Kimoto & Co., Ltd.",Yasuo Fujiwara,1987-11-13,1989-07-10,1991-05-28,1991-05-28,https://patents.google.com/patent/US5019467A/en,https://patentimages.storage.googleapis.com/66/e1/d4/c178b3e682a392/US5019467-drawings-page-2.png
US-7155159-B1,Audience detection ,Lee S. Weinblatt,"Lee S. Weinblatt, Thomas Langer",2000-03-06,2000-03-06,2006-12-26,2006-12-26,https://patents.google.com/patent/US7155159B1/en,https://patentimages.storage.googleapis.com/1f/a4/06/abb2b5a4f76c01/US07155159-20061226-D00000.png
GB-1524130-A,Digital multi-alarm watch ,Seiko Instr & Electronics,,1975-10-13,1976-10-08,1978-09-06,,https://patents.google.com/patent/GB1524130A/en,
IT-8323165-V0,DIGITAL LIQUID QUARTZ POCKET WATCH IN FLEXIBLE PVC CONTAINER. ,Weil Daniel,,1983-10-06,1983-10-06,1983-10-06,,https://patents.google.com/patent/IT8323165V0/en,
JP-H0755964-A,Electronic watch ,"Seiko Epson Corp, セイコーエプソン株式会社","Akihiko Maruyama, 昭彦 丸山",1993-08-09,1993-08-09,1995-03-03,,https://patents.google.com/patent/JPH0755964A/en,
US-2004081025-A1,Wristwatch capable of storing and transmitting data ,Leo Chen,Leo Chen,2002-10-18,2003-10-15,2004-04-29,,https://patents.google.com/patent/US20040081025A1/en,https://patentimages.storage.googleapis.com/f7/ec/e3/904d3669dbb9f2/US20040081025A1-20040429-D00000.png
US-3855783-A,Digital electronic timepiece ,Optel Corp,N Luce,1972-04-20,1972-04-20,1974-12-24,1974-12-24,https://patents.google.com/patent/US3855783A/en,https://patentimages.storage.googleapis.com/ab/42/9c/c75e5a2ddb1597/US3855783-drawings-page-2.png
CN-1124554-C,Method and apparatus for improved multi-tap text input ,伊顿尼生物工程有限公司,霍华德·安德鲁·古托维滋,1998-12-10,1999-12-09,2003-10-15,2003-10-15,https://patents.google.com/patent/CN1124554C/en,https://patentimages.storage.googleapis.com/bf/48/eb/bd0b6bae1fa142/C9981418800311.png
KR-100750795-B1,The assembly structure of digital clock case for automobile ,덴소풍성전자(주),"최홍규, 이태열, 김점식, 예수희",2006-09-22,2006-09-22,2007-08-20,2007-08-20,https://patents.google.com/patent/KR100750795B1/en,https://patentimages.storage.googleapis.com/8f/d8/75/c55c8623f38704/112006068602923-pat00001.png
US-2024111254-A1,System and method for watch security ,Bret Thoeny,Bret Thoeny,2022-04-06,2023-04-05,2024-04-04,,https://patents.google.com/patent/US20240111254A1/en,https://patentimages.storage.googleapis.com/b2/0a/0a/902403993316d6/US20240111254A1-20240404-D00000.png
US-7978564-B2,Interactive medication container ,Carlos De La Huerga,Carlos De La Huerga,1997-03-28,2001-04-11,2011-07-12,2011-07-12,https://patents.google.com/patent/US7978564B2/en,https://patentimages.storage.googleapis.com/10/86/89/3c11ea465d392f/US07978564-20110712-D00000.png
EP-0901262-B1,Menu navigation key for a portable telephone ,Nokia Corporation,"Morten Rolighed Christensen, Sten Carlsen, Frank Kraft, Frank Nuovo",1997-09-04,1998-08-18,2013-07-24,2013-07-24,https://patents.google.com/patent/EP0901262B1/en,https://patentimages.storage.googleapis.com/3f/71/39/9ff15776377457/imgf0001.png
EP-0634674-B1,Optical assembly with high efficiency chiral nematic LC polarizer ,KAISER AEROSPACE &amp; ELECTRONICS CORPORATION,Michael H. Kalmanash,1993-06-29,1994-06-22,1999-03-24,1999-03-24,https://patents.google.com/patent/EP0634674B1/en,https://patentimages.storage.googleapis.com/8e/b3/38/d5d232ba78ca47/00310001.png
