id,title,publication date
US-7926145-B2,Selectively lockable caster ,2011-04-19
AU-2006273628-B2,Self-powered vehicle with selectable operational modes ,2012-04-12
JP-5087285-B2,Stretcher with manually operated caster brake device ,2012-12-05
CA-2595196-C,Multiple configuration implement carrier kit ,2011-02-22
US-8020648-B2,Windrower tractor with rear wheel suspension ,2011-09-20
EP-1969437-B1,Coverage robot mobility ,2009-09-09
CN-201907371-U,Caster for baby carriage and baby carriage ,2011-07-27
US-7437801-B2,Caster assembly and shelf system for use on a collapsible cart ,2008-10-21
JP-3037640-U,Steering device for towed truck ,1997-05-20
CN-1223481-C,Vehicle with swivel control of casters for enabling rider or external steering ,2005-10-19
CN-216069476-U,Universal caster who contains leading wheel ,2022-03-18
US-2019322509-A1,Frame For A Pallet Truck ,2019-10-24
CN-101633291-A,Pluggable universal caster wheel ,2010-01-27
US-7004495-B2,Vertically stowable modular multi-purpose trailer ,2006-02-28
EP-1812250-B1,Adjustable wheel assembly ,2009-03-11
KR-101861391-B1,Omni-directional Wheel Assembly and Omni-directional Vehicle ,2018-07-02
JP-2008284979-A,Caster and article with caster ,2008-11-27
US-7735591-B2,Powered wheelchair having an articulating beam and related methods of use ,2010-06-15
US-7338056-B2,One piece flexible skateboard ,2008-03-04
US-7431123-B2,Vehicle improved in steering ,2008-10-07
JP-5028560-B2,Riding lawn mower ,2012-09-19
JP-2925050-B2,Skid car ,1999-07-26
JP-2012254789-A,Caster brake ,2012-12-27
US-8496256-B2,Steering assist for a rear caster wheel on a work machine ,2013-07-30
CN-112829855-A,Multi-mode ROS education trolley ,2021-05-25
US-9993378-B2,Method and apparatus for a locking caster ,2018-06-12
US-9254866-B2,Method of controlling steering of a ground vehicle ,2016-02-09
US-7832745-B2,Single caster wheel assembly for trailer towable at high speeds ,2010-11-16
US-8127861-B2,Front folding agricultural implement frame with rearwardly telescoping tongue ,2012-03-06
US-7516984-B2,Jointed mechanism of electric wheelchair ,2009-04-14
KR-100711650-B1,Skateboard capable of all-direction running ,2007-04-27
US-7882909-B2,Personal vehicle ,2011-02-08
US-8414000-B2,One piece flexible skateboard ,2013-04-09
US-11998495-B2,Elevated height wheelchair ,2024-06-04
CN-114555458-A,Three-wheel power drifting scooter ,2022-05-27
JP-4653161-B2,Self-locking caster wheels for roll-in cots ,2011-03-16
JP-H05262102-A,Caster for light vehicle ,1993-10-12
US-8075006-B2,Three-wheeled skateboard system and method ,2011-12-13
CN-207389275-U,Trolley Side-braking caster wheel with shock mitigation system ,2018-05-22
CN-107554827-B,Artificial foodstuff bagging machine ,2019-09-13
CN-1989016-B,Caster comprising a trailing wheel ,2012-05-23
US-9751363-B2,Swivel caster ,2017-09-05
US-7992889-B2,Convertible stroller-cycle ,2011-08-09
CN-100556716-C,Hubless caster ,2009-11-04
US-7600768-B2,One piece flexible skateboard ,2009-10-13
CN-100441428-C,Self-orienting caster for pieces of furniture and the like ,2008-12-10
US-10667970-B2,Swing arm assembly for a mid-wheel drive wheelchair ,2020-06-02
EP-1974706-B1,Stretcher having hand actuated wheel braking apparatus ,2011-04-27
US-8186931-B2,Powered hand truck ,2012-05-29
US-11245288-B2,Techniques for power transfer through wheels of a patient support apparatus ,2022-02-08
KR-101412143-B1,Robot cleaner and method for controlling travel the same ,2014-06-27
US-8925672-B2,Steering control system for hydrostatically driven front vehicle ground wheels and steerable rear caster wheels ,2015-01-06
US-9580096-B2,Tote transport ,2017-02-28
US-8560119-B2,Robot cleaner and method of controlling travel of the same ,2013-10-15
US-8113531-B2,Personal mobility vehicle having a pivoting suspension with a torque activated release mechanism ,2012-02-14
US-7506709-B2,Personal mobility vehicle suspension system having a compensation mechanism ,2009-03-24
US-9027891-B2,Floor protectors for furniture legs and casters and methods of making and using same ,2015-05-12
ES-2833474-T3,Ultrasonic Grain Degassing and Refining Device for Metal Casting ,2021-06-15
US-8657025-B2,Folding frame for an agricultural implement ,2014-02-25
US-8011678-B1,Steering system for a zero-turn radius vehicle ,2011-09-06
CN-102770283-B,Caster system equipped with hand-operated brakes ,2015-05-13
US-10829150-B1,Zero turn radius vehicle with single steered wheel ,2020-11-10
CN-101678852-B,Stroller ,2011-11-16
CN-101516642-B,Self-orienting caster for furniture ,2012-10-31
US-10093334-B1,Mother/daughter industrial cart coupling arrangement ,2018-10-09
US-8376381-B2,"Versatile, collapsible cart-trailer with modular components ",2013-02-19
CN-101687518-B,Stroller ,2012-12-12
US-10427701-B1,Appliance stand and dolly ,2019-10-01
US-8585071-B2,Releasable forward wheel apparatus for a wheelchair ,2013-11-19
US-8904597-B2,Caster wheel bumper ,2014-12-09
CN-108608804-B,Hollow caster set of suitcase ,2019-12-24
US-10787351-B2,Pallet truck ,2020-09-29
US-8418786-B2,Selectively powered ambulatory stretcher chair ,2013-04-16
US-8695996-B2,Medical emergency crash cart ,2014-04-15
CN-206900094-U,A kind of damping shock absorption universal caster wheel and mobile device ,2018-01-19
CN-102285414-B,Box-type foldable electric bicycle ,2013-01-09
US-8167317-B2,Wheelchair attachments ,2012-05-01
US-10660257-B2,System and method for automatically actuating wing assemblies of an agricultural implement ,2020-05-26
CN-104690732-B,Song Cai robot ,2017-01-04
US-9901498-B2,Compact wheelchair assembly with removable wheels and methods therefor ,2018-02-27
US-2016029555-A1,Control sysytem for motor-driven lawnmower vehicle ,2016-02-04
US-D792198-S,Caster wheel ,2017-07-18
US-8413295-B2,Caster wheel system ,2013-04-09
US-9198342-B2,Rear folding toolbar implement ,2015-12-01
US-8387209-B2,Caster with dual offset orbital mounting assembly ,2013-03-05
CN-1712292-B,Casters and vehicle therewith ,2010-12-08
AU-2011238867-B2,Systems and methods for caster obstacle management ,2016-03-03
US-10517781-B2,Reconfiguration means for a wheelchair ,2019-12-31
US-7802802-B2,Camera dolly ,2010-09-28
US-7611155-B2,Ride on platform for small loader ,2009-11-03
US-8152188-B2,Hand grip motion control capabilities for a lever propulsion wheelchair ,2012-04-10
JP-5108336-B2,Caster braking device ,2012-12-26
JP-5150881-B2,Riding lawn mower ,2013-02-27
AU-2012216572-B2,Swather tractor with rear wheel active steering ,2014-10-23
US-11039964-B2,Systems and methods for facilitating movement of a patient transport apparatus ,2021-06-22
US-8209946-B2,Trailing transport rotary mower ,2012-07-03
US-7350269-B2,Adjustable caster and leveling assembly ,2008-04-01
US-7770904-B2,Stability system for an industrial vehicle ,2010-08-10
CA-2930111-C,Caster wheel assembly for an agricultural implement ,2020-08-25
CN-102697622-B,Sitting and lying lower limb rehabilitation robot ,2013-12-11
US-9333823-B2,Gravitationally aligning wheels ,2016-05-10
US-8700269-B2,Steerable agricultural implement with multi-point hitch ,2014-04-15
US-8490242-B2,Mobile caster ,2013-07-23
US-9056524-B2,Caster wheel with parabolic tread-hub interface ,2015-06-16
JP-5549012-B2,Caster wheel structure for furniture etc. ,2014-07-16
JP-5211371-B2,Riding lawn mower ,2013-06-12
US-10046599-B2,Electrical brake mechanism for caster ,2018-08-14
US-8662516-B1,Wheelchair caster mounting assembly ,2014-03-04
CN-103264275-B,Automatic assembling device for universal casters ,2015-07-08
US-10688826-B2,Adjustable caster assembly ,2020-06-23
US-10806649-B1,Enhanced mobility wheelchair ,2020-10-20
US-8708354-B2,Caster skateboard ,2014-04-29
CN-109476176-B,Steering wheel with roller ,2022-04-05
CN-107589741-B,Autonomous moving body and motion control method for autonomous moving body ,2021-02-26
JP-6351725-B2,Spherical wheel for moving vehicle and vehicle using the wheel ,2018-07-04
CA-3096731-C,Wheelchair suspension ,2023-09-12
US-7350621-B2,Ladder transport system ,2008-04-01
US-8668211-B2,High strength plastic furniture dolly ,2014-03-11
ES-2932512-T3,Retractable device that is deployed by an arthritic aid person ,2023-01-20
US-2019375239-A1,Wheel comprising a non-pneumatic tire ,2019-12-12
CN-201544720-U,Caster wheel device ,2010-08-11
US-9387723-B2,Swivel lock for a caster ,2016-07-12
US-2009254218-A1,Robot confinement ,2009-10-08
US-2010132159-A1,Powered Locking Caster Wheel ,2010-06-03
US-2006191695-A1,Wheel lift assist frame for strip tilling ,2006-08-31
EP-1772575-A2,Base of Sunshade Umbrella ,2007-04-11
US-2008044265-A1,Powered hand truck ,2008-02-21
US-8424887-B1,"Top-accessible, height-adjustable industrial caster wheel ",2013-04-23
US-8474921-B2,Wall-mounted patient egress and patient assist bar ,2013-07-02
US-8167324-B2,Caster wheel suspension for a zero-turn mower ,2012-05-01
US-10413461-B1,Unilateral transition means for adapting a wheelchair ,2019-09-17
US-8590074-B2,Transport apparatus ,2013-11-26
US-7506405-B2,Quad-caster carriage with forklift attachment ,2009-03-24
US-7282652-B1,Portable weighing system ,2007-10-16
CN-209159752-U,A kind of triangle transfer tooling ,2019-07-26
WO-2010053025-A1,Six-wheeled stretcher ,2010-05-14
CN-102490844-A,Double-wheel scooter ,2012-06-13
CN-114983744-A,"Systems, devices, and methods for supporting and/or positioning a patient before, during, or after a medical procedure ",2022-09-02
US-2008154429-A1,"Apparatus, method, and medium for distinguishing the movement state of mobile robot ",2008-06-26
EP-3727881-B1,Wheel comprising a non-pneumatic tire ,2024-02-21
US-11981380-B2,Kart ,2024-05-14
US-2008029985-A1,Side movement propelled wheeled recreational device ,2008-02-07
US-3751758-A,Caster and swivel lock assembly ,1973-08-14
CN-202624303-U,Baby carriage ,2012-12-26
EP-1917947-A2,Personal mobility vehicle with moveable rear caster wheel and method for moving a rear caster wheel ,2008-05-07
US-2007001432-A1,Vertically stowable modular multi-purpose trailer ,2007-01-04
US-9783001-B1,"Article movement systems, ball wheels and related apparatus and methods ",2017-10-10
US-2009066150-A1,Cam Action Caster Assembly for Ride-On Devices ,2009-03-12
US-9186570-B1,Skateboard ,2015-11-17
US-2010306962-A1,Hubless Caster Technology ,2010-12-09
EP-4289408-A2,Bed systems ,2023-12-13
US-11963910-B2,System and method of braking for a patient support apparatus ,2024-04-23
EP-3457830-B1,Steered caster wheel systems ,2021-02-17
US-2006076747-A1,Wheelchair suspension system ,2006-04-13
US-2020401133-A1,Autonomous Utility Cart and Robotic Cart Platform ,2020-12-24
US-8172241-B2,Handcart ,2012-05-08
US-8046871-B2,Caster ,2011-11-01
US-7918304-B2,Steering assist for a rear caster wheel on a work machine ,2011-04-05
US-7726888-B2,Mobile device suitable for supporting apparatus for site imaging while in transit ,2010-06-01
CN-101559780-B,Caster wheel-collapsible baggage car ,2010-11-17
CA-2647635-C,Suspension arrangement for rear castered wheels on a work machine ,2016-04-26
US-11883338-B2,Caster wheel assembly ,2024-01-30
JP-2019147470-A,Step riding-over wheel and handcart ,2019-09-05
GB-1328465-A,Caster wheel mountings for industrial trucks and mobile platforms ,1973-08-30
CN-2825330-Y,Brake device for sickbed caster ,2006-10-11
US-6131936-A,Luggage or shopping cart having a self-locking front caster wheel assembly ,2000-10-17
US-8839487-B2,Vertically adjustable caster wheel apparatus ,2014-09-23
CN-102211502-A,Caster ,2011-10-12
US-6843349-B2,Trolley wheel mechanism ,2005-01-18
US-9795073-B2,Flotation for agricultural implements ,2017-10-24
US-9950733-B2,Wheelchair reconfiguration methods ,2018-04-24
US-10130530-B2,Mechanism and apparatus for wheelchair reconfiguration ,2018-11-20
US-2009160146-A1,"Shopping cart, frame, basket and production methods ",2009-06-25
JP-2019526483-A,cart ,2019-09-19
EP-0740542-B1,"Wheel-chair for transporting or assisting the displacement of at least one user, particularly for a handicaped person ",2005-02-02
CN-106626976-B,Shock attenuation universal wheel ,2023-06-30
US-8113305-B1,Powered patient transport vehicle ,2012-02-14
KR-20210096476-A,Stroller ,2021-08-05
US-2009102282-A1,Crawler track ,2009-04-23
US-2007277350-A1,Leveling caster system and method of using same ,2007-12-06
US-9061547-B2,Power-operated caster brake mechanism ,2015-06-23
US-9650060-B2,Swivelable and unidirectional platform truck ,2017-05-16
EP-3572239-B1,Caster assembly with brake assembly having low actuation force ,2023-09-20
US-10632787-B1,Wheel dolly ,2020-04-28
US-2012160617-A1,Baggage caster lock device ,2012-06-28
US-7210558-B2,Scaffold having detachable ladder assembly ,2007-05-01
JP-5481994-B2,Traveling cart ,2014-04-23
CN-106794708-B,Caster and whiteboard containing same ,2020-01-24
CN-102069828-A,Handcart capable of restoring rear-wheel direction ,2011-05-25
US-2008276846-A1,Dual Row Seed Drill ,2008-11-13
US-2022348070-A1,Hybrid vehicle coversion system ,2022-11-03
CN-210478286-U,Constant locking type caster ,2020-05-08
US-3492017-A,Amusement vehicle ,1970-01-27
US-9211015-B2,Chair with ball-casters ,2015-12-15
JP-6102706-B2,Trolley ,2017-03-29
JP-2014534890-A,Medical equipment with antimicrobial components and / or antimicrobial systems ,2014-12-25
CN-110254131-A,A kind of mobile underpan universal caster wheel ,2019-09-20
US-10206832-B2,Swing arm linkage for a mid-wheel drive wheelchair ,2019-02-19
CN-101177106-A,Flatear capable of drawing caster and caster positioning device thereof ,2008-05-14
CA-3022138-C,Self-propelled baling vehicle ,2020-11-24
CN-102089160-A,Bi-directional propulsion caster ,2011-06-08
CN-108563227-B,Motion control method of 2D wheeled robot based on movable caster ,2020-12-18
JP-2010505489-A,Stairs and obstacle wheelchairs ,2010-02-25
US-10518578-B1,Dual-stage spring loaded caster ,2019-12-31
CA-165709-S,Caster wheel ,2016-07-25
US-10130531-B1,Apparatus for constructing variable configurations of an attachable/detachable motorized drive for standard wheelchairs ,2018-11-20
CN-207668851-U,A kind of universal caster wheel screw automatic mounting machine ,2018-07-31
US-2010117316-A1,Scooter with inclined caster ,2010-05-13
US-9168784-B2,Self-propelled windrower tailwheel non-zero caster for stability ,2015-10-27
US-11642264-B2,Load sensor configurations for caster assemblies of a patient support apparatus ,2023-05-09
US-2015014959-A1,Patient transport platform ,2015-01-15
CN-117182548-B,"Caster wheel assembling, packaging and stacking system ",2024-04-12
CN-110919318-B,Automatic assembly device for caster bracket ,2021-03-19
US-10953918-B2,Self-propelled vehicles including a differential system ,2021-03-23
US-2008042378-A1,Load Carrier ,2008-02-21
US-11873045-B2,Trailered recreation cart ,2024-01-16
US-2009194142-A1,Two-Wheeled In-Line Walker ,2009-08-06
US-2011237400-A1,Arm Exercise Device and System ,2011-09-29
WO-2017201466-A1,Baling vehicle with automated pickup device height adjustment ,2017-11-23
BR-102014005702-A2,Improvements made to armored hospital caster ,2015-04-14
CN-111137344-A,Flat car with foldable caster unit ,2020-05-12
CN-109968903-A,A kind of universal caster wheel ,2019-07-05
JP-5542094-B2,Self-propelled vehicle ,2014-07-09
US-8733770-B2,Steerable rear axle system for dual-path steered windrower tractor ,2014-05-27
US-9358164-B2,Easily dissociable wheelchair ,2016-06-07
CN-205736647-U,A kind of shock-absorbing caster wheel that can check direction ,2016-11-30
CN-109891254-A,Executor ,2019-06-14
US-10251344-B2,Hydraulic damping system and methods of using the same ,2019-04-09
US-11642915-B2,Person support apparatus with braking system ,2023-05-09
CN-108217121-A,A kind of energy-saving container pipeline ,2018-06-29
CN-108705512-A,One kind can multiply load formula both arms Omni-mobile nursing robot ,2018-10-26
KR-20160140595-A,Wheelchair ,2016-12-07
CN-104417616-A,Caster active geometry control system ,2015-03-18
EP-3013534-B1,Hand-held jackhammer holder and method for floor chipping ,2019-01-30
US-10166672-B1,Magnetic robot crawler ,2019-01-01
CN-204092713-U,Novel spider plant bottle stand ,2015-01-14
KR-101265864-B1,Skateboard with Auxiliary Casters Module ,2013-05-20
US-9566926-B1,Wheel guard ,2017-02-14
EP-3798783-B1,"Propulsion control arrangement, robotic tool, method of propelling robotic tool and related devices ",2024-01-24
CN-107251693-A,A kind of walking electric tree-remover ,2017-10-17
US-2021138835-A1,Caster assembly ,2021-05-13
CN-107709137-B,Caster wheel mounting structure ,2020-03-20
US-2013175774-A1,Skateboard truck and caster with suspension mechanism ,2013-07-11
JP-2008168869-A,Riding lawn mower ,2008-07-24
US-2023347690-A1,Apparatus for Spring Centered Caster Wheel ,2023-11-02
US-8690171-B2,Individually steered rear axle for dual path steered vehicles ,2014-04-08
WO-2009021146-A1,Brake system for luggage case ,2009-02-12
US-10791812-B2,Rollable personal container transport device with rotating platform ,2020-10-06
JP-2013006457-A,Power-assisted cart ,2013-01-10
EP-3441287-B1,Self-propelled vehicles having a steering position sensor ,2021-10-06
CN-210284298-U,Retractable caster wheel mechanism and transport vehicle ,2020-04-10
US-10023007-B2,Wheel skirt for lockable caster and methods of making ,2018-07-17
JP-2015504343-A,Chair with wheels ,2015-02-12
US-2024065148-A1,Outdoor power equipment suspension system ,2024-02-29
US-2020283049-A1,Two Position Hand Truck ,2020-09-10
US-11712938-B1,Pistonless pneumatic dampening and straight centering for a steerable axle of a heavy-duty vehicle ,2023-08-01
CN-210620154-U,Telescopic fork mechanism and automatic carrying equipment ,2020-05-26
CN-105415974-B,A kind of two-stage shock-absorbing caster wheel ,2017-06-16
CN-201030766-Y,Caster wheel immobilizing arrangement ,2008-03-05
CN-203093617-U,Caster ,2013-07-31
US-7971886-B2,Steering for towed implements ,2011-07-05
US-8474833-B2,"Carrier devices with fold flat, fixed, caster and/or swivel wheel assemblies ",2013-07-02
US-10123921-B2,Patient support apparatus ,2018-11-13
CN-201443147-U,Convenient combined-type movable partition wall ,2010-04-28
CN-213588189-U,Cleaning robot ,2021-07-02
WO-2007049364-A1,"Adjuster/caster device, caster device, and adjuster device ",2007-05-03
US-2018093708-A1,Steering axle for self-propelled windrower ,2018-04-05
KR-102167310-B1,Automated-guided vehicle of six-wheel ground ,2020-10-19
US-2009101437-A1,Ladder transport system ,2009-04-23
AU-2013206563-B2,Shock absorbing caster assembly ,2017-10-19
CN-102797372-B,A kind of method guaranteeing nuclear power plant's safe operation when being caused tsunami by special violent earthquake ,2015-09-02
KR-20150115768-A,User Propelled Ride-On Vehicle ,2015-10-14
US-2023018540-A1,Lawnmower with front axle assembly ,2023-01-19
CN-102975575-A,Dual-pedal-control caster wheel ,2013-03-20
US-2024208266-A1,Magnetic Apparatus for Centering Caster Wheels ,2024-06-27
US-9010778-B1,"Large wheel, low center of gravity casterboard system ",2015-04-21
CN-112874653-A,Wheel leg structure and robot applying same ,2021-06-01
CN-204484581-U,A kind of anergy old man bathing device ,2015-07-22
US-9757980-B1,Swivel caster with swivel limiter and slide mechanism ,2017-09-12
EP-3551005-B1,Luggage case and wheel set therefor ,2023-12-20
JP-2013536786-A,Tri-state caster assembly with swivel lock and wheel brake ,2013-09-26
WO-2023146661-A1,Wheelchair ,2023-08-03
CN-111846244-A,Wheel track of airplane kitchen cart ,2020-10-30
CA-3065998-C,Suspension caster with brake lever and wheel fork and yoke portion having common pivot axis ,2021-10-19
US-11305830-B2,Motor driven vehicle ,2022-04-19
US-8132822-B2,Compression and torsion damping wheel suspension system ,2012-03-13
EP-3137033-B1,Powered wheelchair ,2018-05-30
CN-102701112-A,Dynamic vibration control systems and methods for industrial lift trucks ,2012-10-03
JP-2020534488-A,Telescopic module used in modular utility systems ,2020-11-26
JP-2020508737-A,Motor-driven chair operated by seat rotation ,2020-03-26
US-11724808-B2,System for transporting cargo in an aircraft passenger cabin ,2023-08-15
CN-109358165-A,A kind of movable type outdoor environment monitoring device ,2019-02-19
US-2011168507-A1,Steerable Carriage Apparatus ,2011-07-14
CN-106613875-A,Crop hydroponic device and hydroponic vegetable growing shed ,2017-05-10
CN-110037866-A,Full-automatic active sufferer changes load wheel chair robot ,2019-07-23
WO-2010019627-A1,Improved one piece flexible skateboard ,2010-02-18
US-11077708-B2,Mobile robot having an improved suspension system ,2021-08-03
US-11179591-B1,"Adjustable resistance weight sled with bias correction, wheel skid control, and omni-directional motion ",2021-11-23
CN-211299172-U,Sofa supporting leg convenient for sofa movement ,2020-08-21
US-8186697-B2,Suspension arrangement for rear castered wheels on a work machine ,2012-05-29
US-7669881-B2,Collapsible conveyance folding transport chair folding wheelchair ,2010-03-02
CN-110883301-A,Caster wheel riveting equipment ,2020-03-17
US-2014361093-A1,Method and apparatus for applying liquid nutrients between parallel rows of standing crops ,2014-12-11
CN-210416478-U,AGV steering wheel that reliability is high ,2020-04-28
US-11459046-B1,Service table for transporting a battery pack of a motor vehicle along a floor surface ,2022-10-04
WO-2009050732-A2,A wheel chair with commode for a patient that converts in to a bed ,2009-04-23
US-2018319214-A1,Braking and locking system for caster wheels ,2018-11-08
CN-206510688-U,A kind of full application of brake universal caster wheel ,2017-09-22
CN-201587286-U,Caster wheel device ,2010-09-22
US-11944469-B2,Caster system for mobile apparatus ,2024-04-02
CN-208802074-U,Differential AGV chassis structure and drive train ,2019-04-30
CN-106114060-A,A kind of universal wheel of new structure ,2016-11-16
JP-2018047906-A,Apparatus for interfacing boarding bridge and low-doorsill airplane ,2018-03-29
CN-110869097-A,Computer game controller support ,2020-03-06
CN-110683489-B,Vehicle-mounted cargo handling device ,2020-03-17
US-2015075880-A1,Electric cart for facilitating the harvesting of berries and other crops ,2015-03-19
TW-201020130-A,Brake-equipped caster ,2010-06-01
EP-3157760-B1,Mower with front caster wheel suspension ,2020-04-22
US-10538179-B2,Work vehicle ,2020-01-21
WO-2015118672-A1,Double-lock caster ,2015-08-13
CN-104155976-A,Autonomous ball-wheel-moving robot and control method thereof ,2014-11-19
CN-204279979-U,A kind of multi-purpose portable unmanned plane posture adjustment motorcycle ,2015-04-22
CN-210617839-U,AGV steering wheel of quick replacement truckle ,2020-05-26
US-11197428-B2,Baling vehicle with automated round bale ejection ,2021-12-14
US-2024124282-A1,Tiltable cart with shiftable load table ,2024-04-18
KR-102245979-B1,Caster and stroller ,2021-04-29
CN-115768389-A,Rollable user support device ,2023-03-07
