id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
DE-20218443-U1,"Door or window sealing system, e.g. for noise or draught exclusion purposes, has a sill section that can be displaced in a vertical direction to improve sealing using an inflatable sealing element system ",Fa. F. Athmer,,2002-11-27,2002-11-27,2004-04-01,,https://patents.google.com/patent/DE20218443U1/en,
DE-10038427-A1,Safety device for rear passengers in vehicle has switch that interacts with child lock locking element so airbag device is switched off in locking position of the locking element and vice-versa ,Volkswagen Ag,Sven Schawe,2000-08-07,2000-08-07,2002-03-07,,https://patents.google.com/patent/DE10038427A1/en,
JP-2003188833-A,Mobile data communication apparatus and two-way communication system ,"Tokai Rika Co Ltd, 株式会社東海理化電機製作所","Masaki Hayashi, 政樹 林, Masaki Yoshino, 正樹 芳野, Toshihiro Nagae, 敏広 長江",2001-12-21,2001-12-21,2003-07-04,,https://patents.google.com/patent/JP2003188833A/en,
DE-9116412-U1,Door handle arrangement ,"Locher, Gebhard, Sarnthein, Südtirol",,1991-10-30,1991-10-30,1992-12-24,,https://patents.google.com/patent/DE9116412U1/en,
DE-2626778-A1,DOOR LOCKING DEVICE FOR MOTOR VEHICLES ,Wilmot Breeden Ltd,Anthony Stuart Waddington,1975-06-26,1976-06-15,1977-01-13,,https://patents.google.com/patent/DE2626778A1/en,
DE-9401943-U1,Door lock ,"Fleischmann, Michael, 96275 Marktzeuln",,1994-02-05,1994-02-05,1994-04-07,,https://patents.google.com/patent/DE9401943U1/en,
DE-2330386-A1,COLD ROOM ,Huurre Oy,Paavo V Suominen,1972-06-16,1973-06-14,1974-01-03,,https://patents.google.com/patent/DE2330386A1/en,
JP-2000127682-A,Electric blackboard ,"Matsushita Electric Ind Co Ltd, 松下電器産業株式会社","Kazuyoshi Kawamura, 千誉志 川村",1998-10-26,1998-10-26,2000-05-09,,https://patents.google.com/patent/JP2000127682A/en,
DE-29803955-U1,Door fitting ,"Hoppe AG, 35260 Stadtallendorf",,1998-03-06,1998-03-06,1998-04-30,,https://patents.google.com/patent/DE29803955U1/en,
DE-19943040-A1,"Building exit device has one or more components, e.g. monitor and alarm, mounted in free-standing housing at distance from door or window ",Geze Gmbh,"Martin Huttenlocher, Hendrik Peper",1999-09-09,1999-09-09,2001-03-15,,https://patents.google.com/patent/DE19943040A1/en,
JP-H09250265-A,Door lock releasing device for vehicle ,"Tokai Rika Co Ltd, 株式会社東海理化電機製作所","Yoshiyuki Mizuno, 善之 水野, Yukio Iwasaki, 幸雄 岩崎, Toru Maeda, 亨 前田",1996-01-10,1996-08-09,1997-09-22,,https://patents.google.com/patent/JPH09250265A/en,
DE-19963022-A1,"Safety device for at least one door, preferably in escape and rescue routes ",Geze Gmbh,"Matthias Hucker, Hendrik Peper",1999-06-27,1999-12-25,2000-12-28,,https://patents.google.com/patent/DE19963022A1/en,
JP-H08158660-A,Room door curing cover ,"Sekisui House Ltd, 積水ハウス株式会社","Yoshiaki Suzuki, 嘉昭 鈴木, Masahiro Goto, 昌弘 後藤",1994-12-08,1994-12-08,1996-06-18,,https://patents.google.com/patent/JPH08158660A/en,
DE-2264216-A1,ELECTRICAL INSTALLATION SYSTEM ,Bbc Brown Boveri & Cie,"Leo Mittler, Rudolf Woertche",1972-12-30,1972-12-30,1974-07-11,,https://patents.google.com/patent/DE2264216A1/en,
JP-2003067784-A,Information processor ,"Canon Inc, キヤノン株式会社","Shinji Uchiyama, 晋二 内山, Hiroyuki Yamamoto, 裕之 山本",2002-07-30,2002-07-30,2003-03-07,,https://patents.google.com/patent/JP2003067784A/en,
DE-3801672-C2,Patent DE3801672C2 ,Martin Reinach Ch Reiber,Martin Reinach Ch Reiber,1988-01-21,1988-01-21,1990-02-08,1990-02-08,https://patents.google.com/patent/DE3801672C2/en,
ES-2232235-B1,EQUIPPED INTERLOCKED AND EXTERNAL SUPPORT MEDIA LOCKED HARDWARE FOR LOCKED EQUIPMENT AND EQUIPPED SHEET OF SUCH HARDWARE. ,Charles Prunet,Charles Prunet,2001-07-05,2002-07-05,2006-08-01,2006-08-01,https://patents.google.com/patent/ES2232235B1/en,
DE-4227448-C2,Lock security for security lock cylinders ,Eberhard Gawehn,Eberhard Gawehn,1992-08-19,1992-08-19,1994-11-03,1994-11-03,https://patents.google.com/patent/DE4227448C2/en,
AT-399364-B,MOTORIZED DOOR LOCK DRIVE USING A KEY PREFERABLY WITH A MOTORIZED DOOR HANDLE ,Leisentritt Kurt Ing,,1993-09-17,1993-09-17,1995-04-25,1995-04-25,https://patents.google.com/patent/AT399364B/en,
DE-19614666-C2,"Device for operating doors, windows or the like ",Vincenzo Barcellona,Vincenzo Barcellona,1995-07-21,1996-04-13,1999-08-05,1999-08-05,https://patents.google.com/patent/DE19614666C2/en,
JP-2648464-B2,Toilet automation system ,"勲 増田, 元久 鈴木","勲 増田, 元久 鈴木",1995-02-28,1995-02-28,1997-08-27,1997-08-27,https://patents.google.com/patent/JP2648464B2/en,
JP-S6057540-A,Charge calculating device of vtr dubbing device ,"Toyo Giken Kogyo Kk, 東洋技研工業株式会社","Tsutomu Takeuchi, 勉 竹内",1983-09-07,1983-09-07,1985-04-03,,https://patents.google.com/patent/JPS6057540A/en,
JP-2002544346-A,Method for producing an endogenous microbicidal polymer surface ,クレアヴィス  ゲゼルシャフト  フュア  テヒノロギー  ウント  イノヴェイション  ミット  ベシュレンクテル  ハフツング,"オッタースバッハ ペーター, コスマン ベアーテ",1999-05-12,2000-03-30,2002-12-24,,https://patents.google.com/patent/JP2002544346A/en,
JP-S6153881-B2,Patent JPS6153881B2 ,Tomuson Sa,"Bekabu Henri, Bari Aren, Remaaru Fuiritsupu",1979-05-11,1980-05-12,1986-11-19,,https://patents.google.com/patent/JPS6153881B2/en,
DE-3886578-T2,Radial combiner for electromagnetic waves. ,Thomson Csf,Michel Baril,1987-04-03,1988-04-01,1994-04-28,1994-04-28,https://patents.google.com/patent/DE3886578T2/en,
DE-3411777-A1,Combination lock ,"Fa. R. und W. Nienstedt, 2808 Syke",Friedel 2808 Syke Nienstedt,1983-11-02,1984-03-30,1985-05-09,,https://patents.google.com/patent/DE3411777A1/en,
US-2003196358-A1,Pizza advertizing and delivery beacon ,Fratzke Frank V.,Frank Fratzke,2002-04-19,2003-04-18,2003-10-23,,https://patents.google.com/patent/US20030196358A1/en,https://patentimages.storage.googleapis.com/2a/e1/21/689a4bc8c95b45/US20030196358A1-20031023-D00000.png
DE-69323364-T2,Key for use in door locks with 5 and 6 holder pins ,"Emhart Inc., Newark, Del.",Gary R. Yorba Linda California 92686 Bergen,1992-08-13,1993-08-12,1999-06-10,1999-06-10,https://patents.google.com/patent/DE69323364T2/en,
DE-19534609-C2,Self-locking motor lock ,Fuss Fritz Gmbh & Co,"Fritz Helmut Fuss, Peter Kerndl",1995-09-18,1995-09-18,1998-09-24,1998-09-24,https://patents.google.com/patent/DE19534609C2/en,
DE-69828929-T2,Start switch for a vehicle and associated system ,"Toyota Jidosha K.K., Toyota","Keiji Toyota-shi Yamamoto, Kazunori Toyota-shi Sakai",1997-09-25,1998-09-24,2006-01-19,2006-01-19,https://patents.google.com/patent/DE69828929T2/en,
DE-69515325-T2,ROTARY CLUTCH DOOR STOP ,"Sapex Industries Ltd., Toronto",Neil Ambar,1994-11-18,1995-11-17,2000-11-30,2000-11-30,https://patents.google.com/patent/DE69515325T2/en,
DE-2166242-C3,Dispenser for towel webs wound on a supply roll ,Steiner Co Lausanne Sa,E B Bahnsen,1970-12-17,1971-12-09,1975-02-13,1975-02-13,https://patents.google.com/patent/DE2166242C3/en,
EP-0432469-B1,Vehicle door lock ,BOMORO Bocklenberg &amp; Motte GmbH &amp; Co. KG,Jürgen Bartsch,1989-12-11,1990-11-12,1994-03-09,1994-03-09,https://patents.google.com/patent/EP0432469B1/en,https://patentimages.storage.googleapis.com/f8/0f/fa/905fd2bf8aba34/imgf0001.png
EP-1130197-B1,Striker with noise reducing effect ,"RW Rüdel Werner, Patentverwertung, Entwicklung und Konstruktion",Werner Rüdel,1999-12-08,1999-12-08,2003-05-07,2003-05-07,https://patents.google.com/patent/EP1130197B1/en,https://patentimages.storage.googleapis.com/c4/f7/1e/e8db632af130f8/00200001.png
US-5004563-A,Antistatic textile compositions and sol/gel/polymer compositions ,Union Oil Company Of California,Charles L. Kissel,1989-02-01,1989-04-28,1991-04-02,1991-04-02,https://patents.google.com/patent/US5004563A/en,
US-3322451-A,Latching mechanism for double swing doors ,Leonard N Bredemus,Leonard N Bredemus,1965-06-28,1965-06-28,1967-05-30,1967-05-30,https://patents.google.com/patent/US3322451A/en,https://patentimages.storage.googleapis.com/ec/ab/e5/9d50fa973163a0/US3322451-drawings-page-1.png
US-4485857-A,Door processing machine ,Norfield Manufacturing Co.,"Bruce D. Norlie, Charles A. Knighten",1983-01-03,1983-01-03,1984-12-04,1984-12-04,https://patents.google.com/patent/US4485857A/en,https://patentimages.storage.googleapis.com/8b/5c/5d/709217d894d269/US4485857-drawings-page-2.png
US-5450662-A,Apparatus and method of rebroaching a lock assembly ,Watts; James A.,James A. Watts,1994-01-27,1994-01-27,1995-09-19,1995-09-19,https://patents.google.com/patent/US5450662A/en,https://patentimages.storage.googleapis.com/f6/03/c1/45025e9ed21f60/US5450662-drawings-page-2.png
US-4175313-A,Method and apparatus for manufacturing door frames ,Neumann Paul G,Paul G. Neumann,1978-04-20,1978-04-20,1979-11-27,1979-11-27,https://patents.google.com/patent/US4175313A/en,https://patentimages.storage.googleapis.com/a7/65/f1/21cbf7e0db0166/US4175313-drawings-page-2.png
US-6077278-A,Suture needle holder ,Mayer; Paul W.,Paul W. Mayer,1997-09-17,1998-09-17,2000-06-20,2000-06-20,https://patents.google.com/patent/US6077278A/en,https://patentimages.storage.googleapis.com/7c/e1/d1/7b9d1cbc5d0c8f/US6077278-drawings-page-2.png
US-4742427-A,Electrostatic discharge simulation ,Keytek Instrument Corp.,Peter L. Richman,1986-02-06,1986-02-06,1988-05-03,1988-05-03,https://patents.google.com/patent/US4742427A/en,https://patentimages.storage.googleapis.com/e1/ba/b2/7af2f6c0b06fc5/US4742427-drawings-page-2.png
US-7316835-B1,Wall patch ,Jerry Brower,Randall Eric Swanson,1999-12-13,2003-07-10,2008-01-08,2008-01-08,https://patents.google.com/patent/US7316835B1/en,https://patentimages.storage.googleapis.com/98/a9/a0/03ba5351e3775c/US07316835-20080108-D00000.png
US-3798532-A,Electron double resonance spectrometer with a microwave cavity bridge arrangement ,K Hausser,K Hausser,1968-03-05,1971-06-15,1974-03-19,1974-03-19,https://patents.google.com/patent/US3798532A/en,https://patentimages.storage.googleapis.com/fa/3f/46/db7ee5df4ccfb0/US3798532-drawings-page-2.png
US-4709373-A,Laser excitation system ,"Summit Technology, Inc.","Peter B. Scott, Kristian Hohla",1985-11-08,1985-11-08,1987-11-24,1987-11-24,https://patents.google.com/patent/US4709373A/en,https://patentimages.storage.googleapis.com/5a/b5/86/564c39f03d7e68/US4709373-drawings-page-2.png
US-D11205-S,Design for door-knob ,P,Geoege S. Barkentin,,1879-04-17,1879-05-27,1879-05-27,https://patents.google.com/patent/USD11205S/en,https://patentimages.storage.googleapis.com/15/bc/62/c575e2aa8880eb/USD11205-drawings-page-1.png
US-D11226-S,Design for door-knobs ,,,,1879-05-10,1879-06-03,1879-06-03,https://patents.google.com/patent/USD11226S/en,https://patentimages.storage.googleapis.com/1a/cc/bd/fe415d82de0ced/USD11226-drawings-page-1.png
US-D180045-S,Knob for a door lock ,,Van Day Truex,,1956-04-30,1957-04-09,1957-04-09,https://patents.google.com/patent/USD180045S/en,https://patentimages.storage.googleapis.com/63/8e/bf/e8026f6c2a1787/USD180045-drawings-page-1.png
US-D21769-S,Design for a door-knob ,THE RUSSELL a ERWIN MANUFACTURING COMPANY,Rudolphe W. E. Christesen,,1892-05-31,1892-08-09,1892-08-09,https://patents.google.com/patent/USD21769S/en,https://patentimages.storage.googleapis.com/pages/USD21769-0.png
US-D18584-S,Design for the surface ornamentation of builders hardware ,,F. Corbin,,1888-07-17,1888-09-04,1888-09-04,https://patents.google.com/patent/USD18584S/en,https://patentimages.storage.googleapis.com/87/f7/ac/e97c2bbe14efe9/USD18584-drawings-page-1.png
US-D85559-S,thomas ,,N. Thomas,,1931-06-25,1931-11-10,1931-11-10,https://patents.google.com/patent/USD85559S/en,https://patentimages.storage.googleapis.com/37/d4/5d/47d3a015e44fe8/USD85559-drawings-page-1.png
US-RE4878-E,Improvement in door-knobs ,,Edwixt  Dat,,,1872-04-23,1872-04-23,https://patents.google.com/patent/USRE4878E/en,https://patentimages.storage.googleapis.com/3c/f3/a8/706ac1ecac1991/USRE4878-drawings-page-1.png
US-D15754-S,Design for a door-knob ,,,,1884-12-03,1885-01-27,1885-01-27,https://patents.google.com/patent/USD15754S/en,https://patentimages.storage.googleapis.com/d6/51/27/4f66411031c7bd/USD15754-drawings-page-1.png
US-D11229-S,Design for door-knobs ,"THE EUSSELL a
EBWIN MANUFACTURING COMPANY",Eodolphe Cheistesen,,1879-05-10,1879-06-03,1879-06-03,https://patents.google.com/patent/USD11229S/en,https://patentimages.storage.googleapis.com/9a/75/b3/3b680aabeb7c1c/USD11229-drawings-page-1.png
WO-0012751-A1,Method for testing anti-bacterial attachment compositions ,Colgate-Palmolive Company,"Shamin Alam Ansari, Diana Kalliope Kiozpeoplou-Grina, Thomas Gregory Polefka",1998-08-28,1999-08-25,2000-03-09,,https://patents.google.com/patent/WO2000012751A1/en,
DE-9104553-U1,Multi-bolt door lock ,"BKS GmbH, 5620 Velbert",,1991-04-13,1991-04-13,1991-06-06,,https://patents.google.com/patent/DE9104553U1/en,
DE-3620799-A1,Multi-function mortise lock ,Bauer Kaba Ag,Othmar Uebersax,1985-08-12,1986-06-20,1987-02-19,,https://patents.google.com/patent/DE3620799A1/en,
DE-4438472-A1,Automatic door lock for electrical or electronic entry control ,Geco Sicherungstechnik,Wolfgang Dipl Ing Krueger,1993-11-24,1994-10-27,1995-06-01,,https://patents.google.com/patent/DE4438472A1/en,
TW-200308122-A,Connector structure ,J S T Mfg Co Ltd,"Syoichi Takada, Satoru Kihira, Kiyoshi Washino, Tsuyoshi Fukami, Masato Kato",2002-05-07,2003-05-07,2003-12-16,,https://patents.google.com/patent/TW200308122A/en,
DE-29703682-U1,Locking means ,"Hoppe AG, 35260 Stadtallendorf",,1997-02-28,1997-02-28,1997-04-24,,https://patents.google.com/patent/DE29703682U1/en,
EP-1239420-A1,"Identification system and code transmitter for the access control to an object or the use of an object, especially for a vehicle ",Siemens Aktiengesellschaft,Albert Prof. Ott,2001-03-05,2001-03-05,2002-09-11,,https://patents.google.com/patent/EP1239420A1/en,https://patentimages.storage.googleapis.com/d3/bc/a7/cc7227e6dd3322/00200001.png
JP-2007532365-A,Method for producing a decorative object having a shell ,"チェン  リチャード, フィリップ ショルツ",フィリップ ショルツ,2004-04-19,2004-04-19,2007-11-15,,https://patents.google.com/patent/JP2007532365A/en,https://patentimages.storage.googleapis.com/e2/8e/51/9c9c34011ca222/2007532365-3.png
WO-0057405-A1,Method for shunting and deshunting an electrical component and a shuntable/shunted electrical component ,"Applied Kinetics, Inc.","Mark T. Girard, Ryan A. Jurgenson",1999-03-23,2000-03-22,2000-09-28,,https://patents.google.com/patent/WO2000057405A1/en,
US-D11227-S,Design for door-knobs ,"THE EUSSELL a
EBWIN MANUFACTUBING",Eodolphe Cheistesen,,1879-05-10,1879-06-03,1879-06-03,https://patents.google.com/patent/USD11227S/en,https://patentimages.storage.googleapis.com/b1/6c/dd/9a04df48fe1ccb/USD11227-drawings-page-1.png
AT-513658-A1,Method for transmitting data between a first transmitting and / or receiving device and a second transmitting and / or receiving device ,Evva Sicherheitstechnologie,"Lukas Dipl Ing Prenner, Reinhard J Ing Enne",2012-11-14,2012-11-14,2014-06-15,,https://patents.google.com/patent/AT513658A1/en,
AU-2015207906-A1,Game account access device ,"Cfph, Llc","Dean P. Alderucci, Joseph M. Asher, Geoffrey M. Gelman, Ronald Rushin",2007-03-08,2015-07-30,2015-08-20,,https://patents.google.com/patent/AU2015207906A1/en,
DE-2451922-C2,Joining each unit of multilayer sheets or sheets ,"Fuji Photo Film Co., Ltd., Minami-Ashigara, Kanagawa","Yoshio Idota, Haruhiko Iwano, Sachio Matsuhita, Isao Ashigara Kanagawa Shimamura",1973-10-31,1974-10-31,1985-07-11,1985-07-11,https://patents.google.com/patent/DE2451922C2/en,
DE-840809-C,"Latch lock, especially for the doors of motor vehicles ",John H Roethel,John H Roethel,1950-03-25,1950-10-01,1952-06-05,1952-06-05,https://patents.google.com/patent/DE840809C/en,
DE-69007215-T2,Door opener. ,Harcor Security Seals Pty Ltd,Frank Weiss,1989-08-28,1990-08-24,1994-06-16,1994-06-16,https://patents.google.com/patent/DE69007215T2/en,
DE-10054180-B4,Method for measuring a channel length and system for channel length measurement for carrying out the method ,Symeo Gmbh,"Patric Dr. Heide, Martin Dr. Vossiek",2000-11-02,2000-11-02,2010-11-11,2010-11-11,https://patents.google.com/patent/DE10054180B4/en,
AU-7884698-A,Cylinder lock with replaceable plug ,Assa Ab,Ake Haggstrom,1997-12-10,1998-08-06,1999-07-01,,https://patents.google.com/patent/AU7884698A/en,
DE-7541523-U,SECURING DEVICE FOR MOTOR VEHICLE DOOR LATCHES ,"D. La Porte Soehne, 5600 Wuppertal",,1975-12-27,1975-12-27,1976-06-24,,https://patents.google.com/patent/DE7541523U/en,
EP-0505934-B1,Glazed fire door ,PROMAT GmbH,Günter Dr. Wiedemann,1991-03-26,1992-03-20,1994-05-18,1994-05-18,https://patents.google.com/patent/EP0505934B1/en,https://patentimages.storage.googleapis.com/90/a2/47/fc0532cc5765d9/imgf0001.png
JP-H0959518-A,Mildewproof silicone rubber composition ,"Shin Etsu Chem Co Ltd, 信越化学工業株式会社","Yoshio Inoue, 凱夫 井上, Susumu Sekiguchi, 晋 関口, Takashi Miyoshi, 敬 三好",1995-08-25,1995-08-25,1997-03-04,,https://patents.google.com/patent/JPH0959518A/en,
CA-1096570-A,"Integral, electrically-conductive textile filament ","Badische Corporation, John H. Sanders, Sterling M. Nichols, George A. Paton","John H. Sanders, Sterling M. Nichols, George A. Paton",1976-04-29,1977-04-28,1981-03-03,1981-03-03,https://patents.google.com/patent/CA1096570A/en,
US-4706439-A,Method of forming a filled pouch ,Lewis Barton,Lewis Barton,1984-10-01,1986-09-04,1987-11-17,1987-11-17,https://patents.google.com/patent/US4706439A/en,https://patentimages.storage.googleapis.com/28/31/a1/212364a8707798/US4706439-drawings-page-2.png
US-4297812-A,Storm door assembly ,Mcphail Shelvey C,Shelvey C. McPhail,1979-07-25,1979-07-25,1981-11-03,1981-11-03,https://patents.google.com/patent/US4297812A/en,https://patentimages.storage.googleapis.com/99/70/94/57c7b7fbac92b5/US4297812-drawings-page-2.png
US-4104695-A,Static electricity discharge ring ,"Hollis Wanda L, Hollis Darrell E","Wanda L. Hollis, Darrell E. Hollis",1977-01-27,1977-01-27,1978-08-01,1978-08-01,https://patents.google.com/patent/US4104695A/en,https://patentimages.storage.googleapis.com/45/bb/d9/4dcc27321fe53b/US4104695-drawings-page-2.png
US-4468026-A,Leg exercise apparatus with elevated stand and lower line grinding member ,Roark Carl D,Carl D. Roark,1982-04-29,1982-04-29,1984-08-28,1984-08-28,https://patents.google.com/patent/US4468026A/en,https://patentimages.storage.googleapis.com/b4/ed/01/3e6b156fc37f14/US4468026-drawings-page-2.png
US-5601319-A,Door locking device ,Morin; Eugene W.,Eugene W. Morin,1995-03-29,1995-03-29,1997-02-11,1997-02-11,https://patents.google.com/patent/US5601319A/en,https://patentimages.storage.googleapis.com/b0/d1/cd/e852cc01ae1430/US5601319-drawings-page-2.png
US-3960396-A,Handle for opening and closing a door ,"Dowa Co., Ltd.",Kingo Miyahara,1974-06-17,1974-09-11,1976-06-01,1976-06-01,https://patents.google.com/patent/US3960396A/en,https://patentimages.storage.googleapis.com/07/b4/2f/9e65a1bb1656b7/US3960396-drawings-page-2.png
US-7210274-B2,Door stile structure ,"Mark Ballantyne, Douglas Smith, Grant Bennett","Mark Ballantyne, Douglas Smith, Grant Bennett",2003-03-28,2003-03-28,2007-05-01,2007-05-01,https://patents.google.com/patent/US7210274B2/en,https://patentimages.storage.googleapis.com/18/fa/a6/d8e76f82528507/US07210274-20070501-D00000.png
US-8163114-B2,Netshape manufacturing processes and compositions ,New Jersey Institute Of Technology,"Costas Gogos, Ming-Wan Young, Rajesh Dave, Robert Pfeffer, David Todd, Bainian Qian, Theodore Davidson",2004-04-07,2004-04-07,2012-04-24,2012-04-24,https://patents.google.com/patent/US8163114B2/en,https://patentimages.storage.googleapis.com/96/11/57/8e0d1341cfc53c/US08163114-20120424-D00000.png
US-5996287-A,Apparatus for securely and safely partitioning an area ,Sullivan; Donald H.,Donald H. Sullivan,1997-04-03,1997-04-03,1999-12-07,1999-12-07,https://patents.google.com/patent/US5996287A/en,https://patentimages.storage.googleapis.com/fc/d8/a6/17c59cde50727f/US5996287-drawings-page-2.png
US-2169438-A,Protective device ,William G Sherman,William G Sherman,1938-11-28,1938-11-28,1939-08-15,1939-08-15,https://patents.google.com/patent/US2169438A/en,https://patentimages.storage.googleapis.com/74/41/37/dfecc33658fa45/US2169438-drawings-page-1.png
